x	y
168.162	246.22
167.591	266.387
167.933	292.161
180.156	313.649
192.188	337.188
203.189	365.804
227.771	386.387
259.067	403.811
285.39	414.619
323.172	401.053
355.538	376.466
367.034	340.077
380.402	293.6
390.498	247.909
385.102	202.998
367.219	164.094
349.603	139.039
170.82	226.098
176.855	208.704
189.604	192.039
205.95	188.292
223.905	204.307
237.441	193.964
242.246	163.088
251.392	150.709
266.555	140.125
289.154	135.785
234.1	210.715
238.352	225.838
242.564	242.864
247.657	259.721
240.615	279.103
246.639	277.031
251.952	275.591
256.871	273.542
262.317	272.105
193.458	253.816
196.939	246.243
203.118	237.147
213.381	232.542
213.213	241.153
203.228	252.511
256.314	194.176
260.595	184.71
268.55	177.355
278.721	175.563
277.49	185.021
264.612	191.234
208.041	334.216
218.87	313.602
234.991	300.181
256.978	296.822
274.475	296.431
295.05	303.719
309.101	318.518
306.11	341.487
286.807	353.669
262.449	360.53
238.854	361.98
218.753	349.947
238.079	321.108
255.808	316.585
277.823	317.098
276.758	328.999
257.891	332.122
238.903	333.129
