x	y
171	190
170	223
174	255
184	294
201	333
223	363
250	393
289	436
324	452
364	440
411	389
435	359
454	327
462	289
469	256
472	219
470	177
189	139
208	123
241	125
270	132
293	150
340	149
365	125
390	115
414	115
446	127
308	184
311	205
309	230
311	257
294	286
306	290
319	291
330	289
343	282
196	193
215	179
254	180
275	194
255	200
227	201
357	192
382	176
412	174
433	186
414	195
383	197
254	334
254	320
285	307
317	310
355	313
376	320
385	330
381	350
359	357
321	361
292	358
272	350
278	334
317	334
358	333
359	341
317	342
278	341
