x	y
160.326	229.486
158.569	264.943
159.362	300.444
166.397	337.549
182.599	375.742
209.318	409.003
242.152	433.987
278.749	451.671
317.588	461.236
347.523	454.317
364.549	428.054
388.511	404.293
408.612	377.377
432.209	336.765
440.256	308.454
441.071	282.244
443.332	247.78
212.411	181.708
238.536	171.469
263.986	173.676
289.132	180.801
310.107	188.358
363.693	190.213
382.288	184.305
401.328	183.791
424.524	185.742
430.788	201.765
333.17	233.567
334.662	255.928
336.415	278.343
338.249	300.559
306.321	314.806
318.116	319.072
330.588	321.625
341.505	320.131
354.21	315.918
240.023	214.982
251.974	204.81
272.251	205.91
285.631	215.431
266.72	223.145
251.203	221.37
363.24	220.128
376.199	209.716
397.282	208.627
409.732	218.813
397.592	226.308
381.094	223.936
272.802	363.548
285.17	351.931
300.947	343.915
330.978	349.225
347.746	347.372
365.819	352.646
376.559	361.416
364.393	370.233
343.321	383.078
322.672	389.701
303.049	387.745
283.127	379.65
302.066	353.652
328.525	356.533
346.255	355.159
344.607	367.526
322.582	374.252
300.029	371.066
