x	y
188.162	219.22
193.591	254.387
196.933	271.161
206.156	308.649
218.188	344.188
230.189	377.804
232.771	407.387
275.067	434.811
326.39	442.619
378.172	440.053
409.538	418.466
425.034	388.077
429.402	348.6
426.498	312.909
436.102	287.998
448.219	259.094
447.603	209.039
206.82	169.098
228.855	143.704
254.604	138.039
285.95	142.292
304.905	160.307
333.441	159.964
362.246	147.088
388.392	138.709
418.555	147.125
435.154	172.785
318.1	186.715
319.352	210.838
317.564	235.864
319.657	259.721
297.615	278.103
308.639	281.031
318.952	280.591
330.871	280.542
345.317	279.105
243.458	192.816
249.939	182.243
264.118	180.147
277.381	188.542
266.213	199.153
254.228	199.511
359.314	187.176
370.595	179.71
384.55	181.355
394.721	188.563
384.49	197.021
366.612	196.234
259.041	349.216
281.87	328.602
301.991	322.181
321.978	322.822
344.475	322.431
363.05	329.719
384.101	350.518
360.11	376.487
338.807	377.669
318.449	377.53
299.854	377.98
277.753	376.947
286.079	352.108
319.808	353.585
355.823	351.098
357.758	355.999
318.891	358.122
285.903	358.129
